GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bot,edu.java.bot.commands,HelpCommand,16,3,0,0,4,1,3,1,3,1
bot,edu.java.bot.commands,TrackCommand,14,3,0,0,3,1,3,1,3,1
bot,edu.java.bot.commands,UntrackCommand,14,3,0,0,3,1,3,1,3,1
bot,edu.java.bot.commands,ListCommand,14,3,0,0,3,1,3,1,3,1
bot,edu.java.bot.commands,StartCommand,2,15,0,0,1,3,1,3,1,3
bot,edu.java.bot.commands,Command,8,0,0,0,1,0,1,0,1,0
bot,edu.java.bot.configuration,ApplicationConfig,6,0,0,0,1,0,1,0,1,0
bot,edu.java.bot,Bot,36,0,0,0,7,0,4,0,4,0
bot,edu.java.bot,BotApplication,14,0,0,0,5,0,2,0,2,0
bot,edu.java.bot,ApplicationContextProvider,6,2,0,0,3,1,2,1,2,1
bot,edu.java.bot.processor,UserMessageProcessorImpl,46,0,2,0,8,0,5,0,4,0
