GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
scrapper,edu.java.client.stackoverflow,StackoverflowClientImpl,8,105,4,4,5,19,4,6,0,6
scrapper,edu.java.controller,LinksController,9,3,0,0,3,1,3,1,3,1
scrapper,edu.java.controller,TelegramChatController,6,3,0,0,2,1,2,1,2,1
scrapper,edu.java.client.stackoverflow.dto,StackoverflowResponseDTO,0,12,0,0,0,1,0,1,0,1
scrapper,edu.java.controller.dto.request,RemoveLinkRequest,6,0,0,0,1,0,1,0,1,0
scrapper,edu.java.controller.dto.request,AddLinkRequest,6,0,0,0,1,0,1,0,1,0
scrapper,edu.java.configuration,ApplicationConfig.Scheduler,0,12,0,0,0,1,0,1,0,1
scrapper,edu.java.configuration,ApplicationConfig,0,15,0,0,0,1,0,1,0,1
scrapper,edu.java.configuration,ClientConfig,0,24,0,0,0,4,0,4,0,4
scrapper,edu.java.client.github,GitHubClientImpl,0,26,0,0,0,4,0,3,0,3
scrapper,edu.java.client.github.dto,GitResponseDTO,0,12,0,0,0,1,0,1,0,1
scrapper,edu.java.controller.dto.response,ApiErrorResponse,18,0,0,0,1,0,1,0,1,0
scrapper,edu.java.controller.dto.response,ListLinksResponse,9,0,0,0,1,0,1,0,1,0
scrapper,edu.java.controller.dto.response,LinkResponse,9,0,0,0,1,0,1,0,1,0
scrapper,edu.java.controller.exception,HandleControllerException,63,3,0,0,15,1,3,1,3,1
scrapper,edu.java.controller.exception,ChatAlreadyExistsException,4,0,0,0,2,0,1,0,1,0
scrapper,edu.java.controller.exception,IncorrectParametersException,4,0,0,0,2,0,1,0,1,0
scrapper,edu.java.controller.exception,ChatIdNotFoundException,4,0,0,0,2,0,1,0,1,0
scrapper,edu.java.client.botClient,BotWebClient,0,49,0,0,0,11,0,2,0,2
scrapper,edu.java.scheduler,LinkUpdaterScheduler,0,22,0,0,0,6,0,4,0,4
scrapper,edu.java,ScrapperApplication,5,3,0,0,2,1,1,1,1,1
